text,intent
Spots appearing on turmeric leaves,disease
little millet plant infected,disease
My rice leaves have brown spots,disease
What disease affects horse gram?,disease
Why are my field pea leaves curling?,disease
Why are my arecanut leaves curling?,disease
My moth bean plant is dying,disease
Disease in capsicum,disease
Why are my chickpea leaves curling?,disease
My tea leaves have yellow spots,disease
My buckwheat plant is dying,disease
Fungus on coconut,disease
Pests attacking my lettuce,disease
My pepper leaves have yellow spots,disease
Spots appearing on ragi leaves,disease
snake gourd leaves turning yellow,disease
corn plant infected,disease
Disease in cinnamon,disease
Why are my ash gourd leaves curling?,disease
What disease affects ash gourd?,disease
Disease in mango,disease
Spots appearing on coffee leaves,disease
Fungus on beans,disease
My fenugreek leaves have yellow spots,disease
Fungus on peas,disease
My guava plant is dying,disease
Fungus on barley,disease
Pests attacking my okra,disease
Spots appearing on sunflower leaves,disease
cocoa leaves turning yellow,disease
My plum plant is dying,disease
lettuce plant infected,disease
Spots appearing on proso millet leaves,disease
My barnyard millet leaves have brown spots,disease
What disease affects groundnut?,disease
muskmelon leaves turning yellow,disease
My guava leaves have yellow spots,disease
Pests attacking my papaya,disease
What disease affects pear?,disease
Why are my rubber leaves curling?,disease
My watermelon leaves have yellow spots,disease
ash gourd plant infected,disease
Spots appearing on turmeric leaves,disease
My corn leaves have yellow spots,disease
banana leaves turning yellow,disease
My kodo millet leaves have brown spots,disease
What disease affects pineapple?,disease
peach plant infected,disease
What disease affects garlic?,disease
White powder on fenugreek leaves,disease
What disease affects wheat?,disease
My horse gram leaves have yellow spots,disease
My sweet potato plant is dying,disease
My eggplant leaves have brown spots,disease
Why are my brinjal leaves curling?,disease
What disease affects sweet potato?,disease
Pests attacking my watermelon,disease
Disease in cabbage,disease
My beetroot leaves have yellow spots,disease
papaya plant infected,disease
Why are my cowpea leaves curling?,disease
rice leaves turning yellow,disease
Pests attacking my sesame,disease
White powder on maize leaves,disease
My lettuce leaves have brown spots,disease
Disease in eggplant,disease
Spots appearing on chickpea leaves,disease
Spots appearing on jute leaves,disease
My beans leaves have yellow spots,disease
Why are my ladyfinger leaves curling?,disease
My moth bean leaves have brown spots,disease
Disease in turnip,disease
Spots appearing on quinoa leaves,disease
My potato plant is dying,disease
My barnyard millet leaves have brown spots,disease
carrot plant infected,disease
Disease in potato,disease
My pomegranate leaves have yellow spots,disease
What disease affects strawberry?,disease
White powder on rubber leaves,disease
Fungus on pear,disease
Fungus on corn,disease
My jute plant is dying,disease
What disease affects tomato?,disease
Fungus on black pepper,disease
My jute leaves have yellow spots,disease
My buckwheat plant is dying,disease
White powder on mustard seed leaves,disease
Spots appearing on beans leaves,disease
Spots appearing on lemon leaves,disease
Spots appearing on kiwi leaves,disease
My bitter gourd leaves have yellow spots,disease
Fungus on cauliflower,disease
Fungus on buckwheat,disease
Disease in clove,disease
White powder on beans leaves,disease
Spots appearing on cumin leaves,disease
Fungus on plum,disease
White powder on fennel leaves,disease
arecanut leaves turning yellow,disease
Fungus on peach,disease
My green gram plant is dying,disease
Spots appearing on pear leaves,disease
Pests attacking my barley,disease
Fungus on green gram,disease
arecanut leaves turning yellow,disease
What disease affects safflower?,disease
pomegranate leaves turning yellow,disease
My turmeric plant is dying,disease
My pigeon pea plant is dying,disease
White powder on watermelon leaves,disease
What disease affects sunflower?,disease
cocoa plant infected,disease
eggplant leaves turning yellow,disease
What disease affects snake gourd?,disease
My quinoa leaves have yellow spots,disease
My watermelon leaves have brown spots,disease
Pests attacking my garlic,disease
White powder on banana leaves,disease
Spots appearing on barley leaves,disease
Fungus on coconut,disease
onion plant infected,disease
Pests attacking my lentils,disease
turmeric leaves turning yellow,disease
Fungus on clove,disease
Fungus on green gram,disease
Disease in orange,disease
My maize leaves have brown spots,disease
My peach plant is dying,disease
Disease in maize,disease
My moth bean leaves have brown spots,disease
garlic plant infected,disease
Pests attacking my papaya,disease
What disease affects ginger?,disease
My field pea plant is dying,disease
My onion leaves have brown spots,disease
My lentils plant is dying,disease
My muskmelon plant is dying,disease
Why are my radish leaves curling?,disease
My chilli leaves have yellow spots,disease
Fungus on jackfruit,disease
My quinoa leaves have yellow spots,disease
What disease affects banana?,disease
Disease in barnyard millet,disease
Pests attacking my onion,disease
What disease affects black gram?,disease
What disease affects beetroot?,disease
carrot leaves turning yellow,disease
quinoa plant infected,disease
White powder on buckwheat leaves,disease
My pineapple leaves have brown spots,disease
Why are my okra leaves curling?,disease
My guava plant is dying,disease
My cocoa leaves have brown spots,disease
My capsicum plant is dying,disease
Why are my cherry leaves curling?,disease
My onion leaves have yellow spots,disease
My fennel leaves have brown spots,disease
White powder on mustard seed leaves,disease
Pests attacking my jackfruit,disease
Spots appearing on cardamom leaves,disease
White powder on plum leaves,disease
sunflower leaves turning yellow,disease
White powder on sweet potato leaves,disease
Spots appearing on pumpkin leaves,disease
White powder on pepper leaves,disease
chilli leaves turning yellow,disease
Fungus on turnip,disease
Pests attacking my mustard,disease
What disease affects coffee?,disease
Spots appearing on corn leaves,disease
Pests attacking my eggplant,disease
What disease affects rajma?,disease
Spots appearing on cocoa leaves,disease
My kodo millet leaves have yellow spots,disease
Fungus on capsicum,disease
My potato leaves have yellow spots,disease
What disease affects amaranth?,disease
Fungus on peas,disease
Fungus on safflower,disease
Fungus on cucumber,disease
Why are my mango leaves curling?,disease
My sesame plant is dying,disease
Disease in muskmelon,disease
pumpkin leaves turning yellow,disease
My sorghum leaves have yellow spots,disease
Why are my pomegranate leaves curling?,disease
My barnyard millet plant is dying,disease
Why are my peach leaves curling?,disease
sunflower leaves turning yellow,disease
What disease affects castor?,disease
White powder on mustard leaves,disease
My cowpea leaves have brown spots,disease
Why are my barnyard millet leaves curling?,disease
My apricot leaves have brown spots,disease
My pigeon pea leaves have yellow spots,disease
Pests attacking my eggplant,disease
My green gram leaves have brown spots,disease
sunflower plant infected,disease
White powder on kodo millet leaves,disease
White powder on pineapple leaves,disease
My field pea plant is dying,disease
My snake gourd leaves have yellow spots,disease
My cumin leaves have yellow spots,disease
My rubber leaves have yellow spots,disease
Spots appearing on black gram leaves,disease
Pests attacking my radish,disease
My cabbage plant is dying,disease
Why are my peach leaves curling?,disease
White powder on proso millet leaves,disease
My cinnamon plant is dying,disease
Why are my safflower leaves curling?,disease
Spots appearing on mango leaves,disease
Disease in chilli,disease
What disease affects coffee?,disease
lentils leaves turning yellow,disease
potato leaves turning yellow,disease
Fungus on horse gram,disease
What disease affects proso millet?,disease
Who are you,general
Greetings,general
Hello chatbot,general
Greetings,general
Hi there,general
Good evening,general
Hey,general
Hi there,general
Good evening,general
What is AgroSense,general
Good morning,general
Are you there,general
Good evening,general
What is AgroSense,general
Hello chatbot,general
Hi there,general
Good afternoon,general
Good afternoon,general
Good evening,general
Hey,general
Hello chatbot,general
Who are you,general
Hello,general
Hi chatbot,general
Hi,general
Can you help me,general
Good afternoon,general
How are you,general
Hello,general
Hey,general
Who are you,general
Hello,general
Good afternoon,general
Are you there,general
Are you there,general
Good evening,general
Are you there,general
Hi there,general
Hey,general
Good morning,general
Can you help me,general
Hi,general
Hi chatbot,general
Hi there,general
Are you there,general
How are you,general
Hi there,general
Good morning,general
Are you there,general
What is AgroSense,general
How are you,general
Hello,general
Good evening,general
Hey,general
Hi there,general
Hello,general
Good evening,general
Good morning,general
Good evening,general
Hi there,general
Hello,general
Can you help me,general
Good evening,general
Hi chatbot,general
Hi,general
What is AgroSense,general
How are you,general
Hi chatbot,general
Can you help me,general
What is AgroSense,general
Hey,general
Good morning,general
Can you help me,general
Are you there,general
Hi chatbot,general
How are you,general
Good evening,general
Good morning,general
How are you,general
Hello chatbot,general
Hi,general
Hey,general
How are you,general
What is AgroSense,general
Greetings,general
Hello,general
Are you there,general
Hey,general
Hi,general
Good evening,general
Greetings,general
What is AgroSense,general
Who are you,general
Are you there,general
How are you,general
Who are you,general
Greetings,general
Good morning,general
Hi chatbot,general
Hi chatbot,general
Can you help me,general
What is AgroSense,general
Hi,general
Hi there,general
Hi there,general
Hey,general
Good afternoon,general
Can you help me,general
Hello chatbot,general
Greetings,general
Good evening,general
Good morning,general
Hello chatbot,general
What is AgroSense,general
Hi there,general
Greetings,general
Good evening,general
Good evening,general
How are you,general
Greetings,general
Hi,general
Who are you,general
How are you,general
Who are you,general
Good morning,general
Can you help me,general
Are you there,general
Hi chatbot,general
Hi,general
Greetings,general
Good evening,general
Hi there,general
Good afternoon,general
Are you there,general
Who are you,general
Hi chatbot,general
Who are you,general
Hey,general
Hi chatbot,general
Greetings,general
Hello,general
What is AgroSense,general
Good evening,general
Greetings,general
Greetings,general
Hi there,general
Are you there,general
Hey,general
Who are you,general
Good afternoon,general
Hi,general
Hi there,general
Are you there,general
Greetings,general
Hi chatbot,general
Hello chatbot,general
Good evening,general
Good afternoon,general
Hi,general
Who are you,general
Good evening,general
Who are you,general
Hello,general
Hello,general
Who are you,general
Are you there,general
What is AgroSense,general
Hi chatbot,general
Hello chatbot,general
Can you help me,general
Hey,general
Hey,general
Good morning,general
Good evening,general
Hi chatbot,general
Good morning,general
Hi chatbot,general
Hi chatbot,general
Hello,general
Hi chatbot,general
Greetings,general
Who are you,general
Greetings,general
Hello chatbot,general
Hi,general
Hi,general
Good afternoon,general
Good morning,general
Can you help me,general
Hi there,general
Hi,general
Hello chatbot,general
What is AgroSense,general
Hi there,general
Can you help me,general
Good evening,general
Hey,general
Hello,general
Hey,general
Hey,general
Good afternoon,general
Hi chatbot,general
Hi chatbot,general
Greetings,general
How are you,general
Who are you,general
Hi,general
Hi,general
Hi,general
Hi there,general
Good evening,general
Can you help me,general
How are you,general
Good afternoon,general
Hello,general
Are you there,general
Hey,general
Are you there,general
Hi there,general
Greetings,general
Hey,general
Good evening,general
Good afternoon,general
Hello,general
Good afternoon,general
Hey,general
How are you,general
What is AgroSense,general
How are you,general
Who are you,general
Hello,general
How are you,general
How are you,general
Hi there,general
Who are you,general
Hi there,general
Greetings,general
Greetings,general
Are you there,general
Hi,general
Good morning,general
How are you,general
Hello,general
What is AgroSense,general
How are you,general
Greetings,general
Good afternoon,general
Can you help me,general
Good evening,general
Greetings,general
Good evening,general
Hey,general
Hello chatbot,general
What is AgroSense,general
Good morning,general
How are you,general
Hi,general
Good evening,general
Good evening,general
Hi there,general
Hi there,general
Good morning,general
Hi there,general
Hey,general
Hi chatbot,general
Can you help me,general
Hello,general
Good afternoon,general
Are you there,general
Good afternoon,general
Greetings,general
Hey,general
Can you help me,general
Hey,general
Hello,general
Who are you,general
Hi,general
Hi there,general
Are you there,general
Good evening,general
Good morning,general
How are you,general
Hello chatbot,general
Hey,general
Can you help me,general
Hey,general
Hello,general
Hello,general
Are you there,general
Hi chatbot,general
How are you,general
Hello chatbot,general
Good afternoon,general
How are you,general
What is AgroSense,general
Good morning,general
What is AgroSense,general
Who are you,general
How are you,general
Hello chatbot,general
What are the benefits of chickpea?,help
What are the benefits of cherry?,help
Is cabbage gluten free?,help
Best way to grow watermelon,help
When should I plant tea?,help
Best way to grow ginger,help
How many species of plum exist?,help
Is proso millet gluten free?,help
What are the uses of cucumber?,help
How to grow arecanut?,help
Best way to grow kodo millet,help
How to increase lemon yield?,help
Is chilli healthy?,help
Is moth bean gluten free?,help
How to protect groundnut from pests?,help
How to grow carrot?,help
How to grow cocoa?,help
How to protect green gram from pests?,help
Best fertilizer for proso millet,help
How much water does chickpea need?,help
How to protect cumin from pests?,help
How much water does rubber need?,help
Tell me about safflower,help
When should I plant barnyard millet?,help
What soil is best for brinjal?,help
Is coffee healthy?,help
How to increase sorghum yield?,help
How many species of kiwi exist?,help
Best way to grow eggplant,help
Why is foxtail millet important?,help
When should I plant cucumber?,help
How many species of coconut exist?,help
Is potato gluten free?,help
Why is plum important?,help
How to cultivate ridge gourd?,help
What are the uses of capsicum?,help
How much water does turmeric need?,help
Is cinnamon gluten free?,help
How to protect grapes from pests?,help
How to cultivate spinach?,help
How to grow ridge gourd?,help
Is papaya gluten free?,help
Is tomato healthy?,help
How to protect beans from pests?,help
How to grow tea?,help
How to increase lychee yield?,help
Tips for growing lettuce,help
How to protect pomegranate from pests?,help
How to protect cabbage from pests?,help
How to increase horse gram yield?,help
What are the benefits of groundnut?,help
Tell me about barley,help
Why is tea important?,help
What are the benefits of jackfruit?,help
What are the benefits of pumpkin?,help
How to protect tomato from pests?,help
How to protect apricot from pests?,help
How many species of pepper exist?,help
Tips for growing barley,help
How to increase snake gourd yield?,help
Best way to grow rajma,help
How to grow turnip?,help
What are the benefits of lentils?,help
How to grow cumin?,help
How to cultivate cocoa?,help
How to cultivate chilli?,help
How to cultivate green gram?,help
What soil is best for sesame?,help
What nutrients are present in peas?,help
Best way to grow cabbage,help
Tell me about barnyard millet,help
Is brinjal healthy?,help
How to increase cumin yield?,help
Is eggplant healthy?,help
Tips for growing clove,help
How to grow radish?,help
Is turmeric gluten free?,help
Best fertilizer for okra,help
What are the uses of tea?,help
What are the uses of potato?,help
What soil is best for brinjal?,help
What are the benefits of banana?,help
Best way to grow arecanut,help
Tips for growing tomato,help
Tips for growing ladyfinger,help
How many species of pear exist?,help
When should I plant plum?,help
How to cultivate green gram?,help
How to protect clove from pests?,help
What are the uses of strawberry?,help
How to grow grapes?,help
Tell me about coriander,help
How to increase rubber yield?,help
How much water does coffee need?,help
What are the uses of horse gram?,help
Tips for growing pear,help
How to grow nutmeg?,help
What nutrients are present in maize?,help
What soil is best for millet?,help
Why is wheat important?,help
Is capsicum gluten free?,help
How to cultivate sunflower?,help
How to increase ladyfinger yield?,help
How much water does black gram need?,help
Best fertilizer for groundnut,help
Is ash gourd healthy?,help
Tell me about arecanut,help
Tell me about field pea,help
How many species of grapes exist?,help
What soil is best for strawberry?,help
How many species of sesame exist?,help
When should I plant mustard seed?,help
Is millet healthy?,help
Tips for growing plum,help
What are the benefits of lentils?,help
How much water does spinach need?,help
How much water does buckwheat need?,help
What nutrients are present in rajma?,help
Best fertilizer for arecanut,help
Tips for growing pearl millet,help
Tips for growing quinoa,help
What nutrients are present in castor?,help
How to grow muskmelon?,help
How to grow sunflower?,help
How to grow potato?,help
Is okra gluten free?,help
Tips for growing soybean,help
Is pigeon pea gluten free?,help
What are the uses of linseed?,help
How to protect potato from pests?,help
What nutrients are present in cumin?,help
What are the benefits of foxtail millet?,help
How many species of millet exist?,help
Is guava gluten free?,help
What are the uses of kodo millet?,help
Is pumpkin healthy?,help
What are the benefits of ragi?,help
How much water does cardamom need?,help
Best fertilizer for safflower,help
How many species of beans exist?,help
Why is kiwi important?,help
How much water does cowpea need?,help
What nutrients are present in linseed?,help
Is sunflower gluten free?,help
How to grow potato?,help
How to increase safflower yield?,help
Best way to grow pearl millet,help
How to grow okra?,help
What are the benefits of foxtail millet?,help
Best fertilizer for proso millet,help
When should I plant chilli?,help
Why is potato important?,help
How to protect coriander from pests?,help
When should I plant rajma?,help
How to grow proso millet?,help
Tips for growing kodo millet,help
How to cultivate strawberry?,help
Why is beans important?,help
How many species of pumpkin exist?,help
How to grow potato?,help
What are the benefits of nutmeg?,help
Tips for growing kiwi,help
Tips for growing orange,help
Tips for growing jute,help
Tips for growing peach,help
How to grow groundnut?,help
How much water does peas need?,help
How to increase bottle gourd yield?,help
How many species of barley exist?,help
How to increase barnyard millet yield?,help
How to increase ginger yield?,help
How to increase beans yield?,help
What soil is best for apricot?,help
Best way to grow beans,help
Tips for growing black pepper,help
How to grow safflower?,help
What are the uses of plum?,help
How to increase pomegranate yield?,help
Tips for growing moth bean,help
What are the benefits of peach?,help
Why is soybean important?,help
What soil is best for buckwheat?,help
Tips for growing moth bean,help
What soil is best for carrot?,help
How to increase coriander yield?,help
What are the benefits of ridge gourd?,help
Tell me about pineapple,help
Tips for growing proso millet,help
What are the benefits of groundnut?,help
Why is little millet important?,help
What nutrients are present in cucumber?,help
How many species of wheat exist?,help
Best way to grow mustard,help
What nutrients are present in nutmeg?,help
Best fertilizer for kodo millet,help
Best way to grow pepper,help
Best way to grow banana,help
Is pear healthy?,help
What soil is best for ginger?,help
Is fenugreek healthy?,help
How to increase cauliflower yield?,help
Why is green gram important?,help
How much water does coconut need?,help
How to increase mango yield?,help
Best way to grow kodo millet,help
How to protect sunflower from pests?,help
How to increase pear yield?,help
What are the uses of apricot?,help
When should I plant carrot?,help
How to increase horse gram yield?,help
How to grow pineapple?,help
What nutrients are present in pigeon pea?,help
Is pearl millet gluten free?,help
Best fertilizer for garlic,help
Best fertilizer for fenugreek,help
Why is cherry important?,help
Best way to grow lychee,help
How to increase ragi yield?,help
What are the uses of cucumber?,help
How to increase maize yield?,help
What nutrients are present in proso millet?,help
Best way to grow cucumber,help
How much water does pepper need?,help
Is cardamom gluten free?,help
Is eggplant gluten free?,help
Why is cumin important?,help
How to increase ginger yield?,help
What are the benefits of peach?,help
Why is horse gram important?,help
How to increase tomato yield?,help
Is bitter gourd healthy?,help
What are the uses of sunflower?,help
Is banana gluten free?,help
What are the uses of pomegranate?,help
How to protect banana from pests?,help
What are the uses of castor?,help
What nutrients are present in cucumber?,help
Is lemon gluten free?,help
How to protect ash gourd from pests?,help
Best fertilizer for pineapple,help
What nutrients are present in ragi?,help
How to grow strawberry?,help
Why is apricot important?,help
Is apple healthy?,help
What are the uses of moth bean?,help
What are the uses of spinach?,help
What are the uses of rubber?,help
What are the uses of coconut?,help
How to protect peach from pests?,help
What nutrients are present in beans?,help
How to increase mango yield?,help
When should I plant cocoa?,help
How many species of kiwi exist?,help
How to increase maize yield?,help
What nutrients are present in cumin?,help
How to grow lettuce?,help
What nutrients are present in sesame?,help
Tell me about potato,help
Is cherry gluten free?,help
What nutrients are present in tomato?,help
Is grapes healthy?,help
What are the uses of cocoa?,help
Best way to grow carrot,help
What soil is best for black gram?,help
What are the benefits of spinach?,help
How to increase coffee yield?,help
Is cowpea healthy?,help
Tell me about rice,help
How to protect cumin from pests?,help
What are the benefits of pearl millet?,help
Is pear healthy?,help
Tips for growing ash gourd,help
What soil is best for cocoa?,help
Is ragi gluten free?,help
What are the uses of turmeric?,help
What are the uses of bottle gourd?,help
What are the uses of kodo millet?,help
Tips for growing castor,help
Tips for growing capsicum,help
What are the uses of pigeon pea?,help
Is tomato healthy?,help
Tell me about castor,help
How many species of pomegranate exist?,help
Why is millet important?,help
How to protect eggplant from pests?,help
What are the benefits of peas?,help
When should I plant pomegranate?,help
What soil is best for lentils?,help
Best fertilizer for orange,help
Tell me about radish,help
Is rubber healthy?,help
How to increase carrot yield?,help
What are the benefits of wheat?,help
Is onion gluten free?,help
How to grow green gram?,help
How to cultivate pigeon pea?,help
When should I plant pineapple?,help
Best fertilizer for strawberry,help
Best fertilizer for grapes,help
Tips for growing horse gram,help
